vector_size=1024, window=10, alpha=0.001907029601102232, min_alpha=0.0074274904326304585, negative=18, sg=0, score=30.354681904937635
vector_size=1024, window=11, alpha=0.000120052072904982, min_alpha=0.00032500838858292214, negative=19, sg=0, score=10.994504765803843
vector_size=512, window=14, alpha=0.09865350560983209, min_alpha=0.00042519413059683125, negative=12, sg=0, score=26.92376443724304
vector_size=512, window=10, alpha=0.03078504249904176, min_alpha=0.00037342370248969863, negative=14, sg=0, score=27.041395893278285
vector_size=128, window=15, alpha=0.0002531430676436346, min_alpha=0.0007512891205295688, negative=11, sg=0, score=14.218990560652278
vector_size=1024, window=10, alpha=0.05013428966125492, min_alpha=0.0033286686628692507, negative=13, sg=0, score=26.975084043062335
vector_size=256, window=3, alpha=0.001943960888289038, min_alpha=0.009884398107835207, negative=16, sg=0, score=27.92651493746504
vector_size=256, window=3, alpha=0.001974684657876253, min_alpha=0.009806057650088343, negative=17, sg=0, score=27.921325314404665
vector_size=256, window=7, alpha=0.0007469623962261642, min_alpha=0.006660746545098879, negative=16, sg=0, score=28.998460411825423
vector_size=128, window=7, alpha=0.005029562876443299, min_alpha=0.00010103420204007157, negative=5, sg=0, score=24.323763283993472
vector_size=256, window=7, alpha=0.0005861163749783246, min_alpha=0.003825111706629328, negative=17, sg=0, score=27.631859672592444
vector_size=1024, window=5, alpha=0.0005790190199398287, min_alpha=0.005321249087803002, negative=15, sg=0, score=29.12358799005899
